id,session,timestamp,dst_ip,dst_port
1,19f4c9b2f43e,2022-11-16T03:30:24.476840Z,google.com,80
2,88d674bc47ca,2022-11-16T08:10:03.858838Z,142.250.74.78,80
3,88d674bc47ca,2022-11-16T08:10:04.015295Z,2a00:1450:400f:802::200e,80
4,88d674bc47ca,2022-11-16T08:10:04.171353Z,74.6.143.25,80
5,88d674bc47ca,2022-11-16T08:10:04.327221Z,2001:4998:44:3507::8000,80
6,88d674bc47ca,2022-11-16T08:10:04.487301Z,77.88.55.77,80
7,88d674bc47ca,2022-11-16T08:10:04.643301Z,2001:4998:44:3507::8001,80
8,071f19334ef9,2022-11-16T08:34:59.228395Z,216.58.211.14,80
9,071f19334ef9,2022-11-16T08:34:59.394854Z,2a00:1450:400f:80d::200e,80
10,071f19334ef9,2022-11-16T08:34:59.562954Z,98.137.11.164,80
11,071f19334ef9,2022-11-16T08:34:59.730723Z,2001:4998:24:120d::1:0,80
12,071f19334ef9,2022-11-16T08:34:59.898925Z,98.137.11.163,80
13,071f19334ef9,2022-11-16T08:35:00.067105Z,2001:4998:24:120d::1:0,80
14,9f2be65f35fd,2022-11-16T09:38:18.968635Z,142.250.74.78,80
15,9f2be65f35fd,2022-11-16T09:38:19.127362Z,2a00:1450:400f:802::200e,80
16,9f2be65f35fd,2022-11-16T09:38:19.283534Z,98.137.11.163,80
17,9f2be65f35fd,2022-11-16T09:38:19.440231Z,2001:4998:124:1507::f000,80
18,9f2be65f35fd,2022-11-16T09:38:19.599353Z,74.6.143.25,80
19,9f2be65f35fd,2022-11-16T09:38:19.755617Z,2001:4998:124:1507::f001,80
20,037a12f1bc34,2022-11-16T13:52:28.001598Z,142.250.74.78,80
21,037a12f1bc34,2022-11-16T13:52:28.157969Z,2a00:1450:400f:802::200e,80
22,037a12f1bc34,2022-11-16T13:52:28.311008Z,98.137.11.164,80
23,037a12f1bc34,2022-11-16T13:52:28.466507Z,2001:4998:124:1507::f001,80
24,037a12f1bc34,2022-11-16T13:52:28.620676Z,142.250.74.78,80
25,037a12f1bc34,2022-11-16T13:52:28.774287Z,2001:4998:44:3507::8001,80
26,ce616e48acfa,2022-11-16T14:09:47.219799Z,216.58.211.14,80
27,ce616e48acfa,2022-11-16T14:09:47.391028Z,2a00:1450:400f:80d::200e,80
28,ce616e48acfa,2022-11-16T14:09:47.559599Z,216.58.211.14,80
29,ce616e48acfa,2022-11-16T14:09:47.731277Z,2001:4998:44:3507::8000,80
30,ce616e48acfa,2022-11-16T14:09:47.899060Z,5.255.255.80,80
31,ce616e48acfa,2022-11-16T14:09:48.067433Z,2001:4998:124:1507::f000,80
32,5a93cdb5619b,2022-11-16T16:16:33.650128Z,216.58.211.14,80
33,5a93cdb5619b,2022-11-16T16:16:33.818707Z,2a00:1450:400f:80d::200e,80
34,5a93cdb5619b,2022-11-16T16:16:33.986424Z,74.6.143.25,80
35,5a93cdb5619b,2022-11-16T16:16:34.155243Z,2001:4998:124:1507::f001,80
36,5a93cdb5619b,2022-11-16T16:16:34.325019Z,74.6.231.21,80
37,5a93cdb5619b,2022-11-16T16:16:34.490625Z,2001:4998:124:1507::f001,80
38,0c0a4ca26746,2022-11-16T17:52:08.231667Z,142.250.74.78,80
39,0c0a4ca26746,2022-11-16T17:52:08.387391Z,2a00:1450:400f:802::200e,80
40,0c0a4ca26746,2022-11-16T17:52:08.547506Z,74.6.143.26,80
41,0c0a4ca26746,2022-11-16T17:52:08.703121Z,2001:4998:124:1507::f000,80
42,0c0a4ca26746,2022-11-16T17:52:08.859271Z,74.6.231.21,80
43,0c0a4ca26746,2022-11-16T17:52:09.045294Z,2001:4998:24:120d::1:0,80
44,66167d1e155b,2022-11-16T20:42:11.982106Z,216.58.211.14,80
45,66167d1e155b,2022-11-16T20:42:12.150645Z,2a00:1450:400f:80d::200e,80
46,66167d1e155b,2022-11-16T20:42:12.318860Z,74.6.231.21,80
47,66167d1e155b,2022-11-16T20:42:12.486440Z,2a00:1450:400f:80d::200e,80
48,66167d1e155b,2022-11-16T20:42:12.654898Z,74.6.231.21,80
49,66167d1e155b,2022-11-16T20:42:12.822523Z,2a00:1450:400f:80d::200e,80
50,37139e3f9109,2022-11-16T23:24:48.372439Z,142.250.74.78,80
51,37139e3f9109,2022-11-16T23:24:48.532069Z,2a00:1450:400f:802::200e,80
52,37139e3f9109,2022-11-16T23:24:48.691420Z,74.6.143.25,80
53,37139e3f9109,2022-11-16T23:24:48.851600Z,2001:4998:24:120d::1:0,80
54,37139e3f9109,2022-11-16T23:24:49.007628Z,74.6.231.21,80
55,37139e3f9109,2022-11-16T23:24:49.163360Z,2a00:1450:400f:802::200e,80
56,326c8b5ae07e,2022-11-17T02:26:21.756763Z,142.250.74.78,80
57,326c8b5ae07e,2022-11-17T02:26:21.910496Z,2a00:1450:400f:802::200e,80
58,326c8b5ae07e,2022-11-17T02:26:22.066659Z,98.137.11.163,80
59,326c8b5ae07e,2022-11-17T02:26:22.222331Z,2001:4998:124:1507::f000,80
60,326c8b5ae07e,2022-11-17T02:26:22.378734Z,5.255.255.77,80
61,326c8b5ae07e,2022-11-17T02:26:22.535227Z,2001:4998:24:120d::1:0,80
62,12b72461d8ee,2022-11-17T04:27:25.800475Z,216.58.211.14,80
63,12b72461d8ee,2022-11-17T04:27:25.970374Z,2a00:1450:400f:80d::200e,80
64,12b72461d8ee,2022-11-17T04:27:26.139885Z,74.6.143.25,80
65,12b72461d8ee,2022-11-17T04:27:26.306126Z,2001:4998:24:120d::1:1,80
66,12b72461d8ee,2022-11-17T04:27:26.475943Z,77.88.55.70,80
67,12b72461d8ee,2022-11-17T04:27:26.642313Z,2001:4998:44:3507::8000,80
68,411cfe9dd287,2022-11-17T07:53:50.813670Z,216.58.211.14,80
69,411cfe9dd287,2022-11-17T07:53:50.982272Z,2a00:1450:400f:80d::200e,80
70,411cfe9dd287,2022-11-17T07:53:51.146237Z,74.6.231.20,80
71,411cfe9dd287,2022-11-17T07:53:51.310409Z,2001:4998:124:1507::f000,80
72,411cfe9dd287,2022-11-17T07:53:51.479182Z,74.6.231.21,80
73,411cfe9dd287,2022-11-17T07:53:51.647094Z,2001:4998:124:1507::f001,80
74,7ea24e223c14,2022-11-17T08:38:10.201278Z,speedtest.tele2.net,80
75,37a716127f48,2022-11-17T08:42:09.698880Z,142.250.74.78,80
76,37a716127f48,2022-11-17T08:42:09.854603Z,2a00:1450:400f:802::200e,80
77,37a716127f48,2022-11-17T08:42:10.014370Z,98.137.11.164,80
78,37a716127f48,2022-11-17T08:42:10.170807Z,2001:4998:124:1507::f000,80
79,37a716127f48,2022-11-17T08:42:10.326868Z,5.255.255.70,80
80,37a716127f48,2022-11-17T08:42:10.482553Z,2001:4998:124:1507::f000,80
81,f3b0ff306c8c,2022-11-17T09:44:37.268019Z,216.58.211.14,80
82,f3b0ff306c8c,2022-11-17T09:44:37.435186Z,2a00:1450:400f:80d::200e,80
83,f3b0ff306c8c,2022-11-17T09:44:37.602890Z,98.137.11.163,80
84,f3b0ff306c8c,2022-11-17T09:44:37.771045Z,2001:4998:24:120d::1:0,80
85,f3b0ff306c8c,2022-11-17T09:44:37.939020Z,98.137.11.163,80
86,f3b0ff306c8c,2022-11-17T09:44:38.106749Z,2001:4998:124:1507::f001,80
87,e6bd26e8da0b,2022-11-17T14:00:57.611954Z,142.250.74.78,80
88,e6bd26e8da0b,2022-11-17T14:00:57.771102Z,2a00:1450:400f:802::200e,80
89,e6bd26e8da0b,2022-11-17T14:00:57.927171Z,98.137.11.164,80
90,e6bd26e8da0b,2022-11-17T14:00:58.083244Z,2001:4998:124:1507::f000,80
91,e6bd26e8da0b,2022-11-17T14:00:58.239370Z,98.137.11.163,80
92,e6bd26e8da0b,2022-11-17T14:00:58.395149Z,2001:4998:24:120d::1:0,80
93,0147b1b08f29,2022-11-17T15:02:25.712082Z,216.58.211.14,80
94,0147b1b08f29,2022-11-17T15:02:25.878975Z,2a00:1450:400f:80d::200e,80
95,0147b1b08f29,2022-11-17T15:02:26.046669Z,74.6.143.25,80
96,0147b1b08f29,2022-11-17T15:02:26.214918Z,2a00:1450:400f:80d::200e,80
97,0147b1b08f29,2022-11-17T15:02:26.382640Z,74.6.231.20,80
98,0147b1b08f29,2022-11-17T15:02:26.550859Z,2a02:6b8:a::a,80
99,96a4f25f8875,2022-11-17T16:06:30.162949Z,172.217.10.206,80
100,4ddd64190e42,2022-11-17T17:05:15.485284Z,142.250.74.78,80
101,4ddd64190e42,2022-11-17T17:05:15.638129Z,2a00:1450:400f:802::200e,80
102,4ddd64190e42,2022-11-17T17:05:15.790200Z,74.6.143.26,80
103,4ddd64190e42,2022-11-17T17:05:15.946726Z,2a00:1450:400f:802::200e,80
104,4ddd64190e42,2022-11-17T17:05:16.102209Z,77.88.55.60,80
105,4ddd64190e42,2022-11-17T17:05:16.258363Z,2001:4998:44:3507::8001,80
106,115c9d39fa52,2022-11-17T19:36:57.746403Z,216.58.211.14,80
107,115c9d39fa52,2022-11-17T19:36:57.917065Z,2a00:1450:400f:80d::200e,80
108,115c9d39fa52,2022-11-17T19:36:58.087956Z,216.58.211.14,80
109,115c9d39fa52,2022-11-17T19:36:58.259632Z,2a00:1450:400f:80d::200e,80
110,115c9d39fa52,2022-11-17T19:36:58.428284Z,74.6.143.25,80
111,115c9d39fa52,2022-11-17T19:36:58.599986Z,2a02:6b8:a::a,80
112,5de08faae074,2022-11-17T22:52:57.639470Z,142.250.74.78,80
113,5de08faae074,2022-11-17T22:52:57.793985Z,2a00:1450:400f:802::200e,80
114,5de08faae074,2022-11-17T22:52:57.951181Z,74.6.143.25,80
115,5de08faae074,2022-11-17T22:52:58.106777Z,2001:4998:24:120d::1:0,80
116,5de08faae074,2022-11-17T22:52:58.263012Z,74.6.143.25,80
117,5de08faae074,2022-11-17T22:52:58.419018Z,2001:4998:24:120d::1:0,80
118,577d9c8ddd30,2022-11-18T01:59:56.112334Z,216.58.211.14,80
119,577d9c8ddd30,2022-11-18T01:59:56.283648Z,2a00:1450:400f:80d::200e,80
120,577d9c8ddd30,2022-11-18T01:59:56.455417Z,74.6.231.21,80
121,577d9c8ddd30,2022-11-18T01:59:56.624150Z,2a00:1450:400f:80d::200e,80
122,577d9c8ddd30,2022-11-18T01:59:56.791331Z,5.255.255.88,80
123,577d9c8ddd30,2022-11-18T01:59:56.960133Z,2a02:6b8:a::a,80
124,7d4476c84752,2022-11-18T02:22:20.195736Z,142.250.74.78,80
125,7d4476c84752,2022-11-18T02:22:20.355707Z,2a00:1450:400f:802::200e,80
126,7d4476c84752,2022-11-18T02:22:20.511388Z,74.6.231.21,80
127,7d4476c84752,2022-11-18T02:22:20.671604Z,2001:4998:44:3507::8000,80
128,7d4476c84752,2022-11-18T02:22:20.831636Z,74.6.143.25,80
129,7d4476c84752,2022-11-18T02:22:20.992647Z,2001:4998:124:1507::f001,80
130,9717399b0789,2022-11-18T04:52:20.296735Z,216.58.211.14,80
131,9717399b0789,2022-11-18T04:52:20.466828Z,2a00:1450:400f:80d::200e,80
132,9717399b0789,2022-11-18T04:52:20.635678Z,216.58.211.14,80
133,9717399b0789,2022-11-18T04:52:20.802871Z,2001:4998:124:1507::f000,80
134,9717399b0789,2022-11-18T04:52:20.970894Z,74.6.143.25,80
135,9717399b0789,2022-11-18T04:52:21.139461Z,2a02:6b8:a::a,80
136,6dbcde950836,2022-11-18T10:32:35.390575Z,142.250.74.78,80
137,6dbcde950836,2022-11-18T10:32:35.546659Z,2a00:1450:400f:802::200e,80
138,6dbcde950836,2022-11-18T10:32:35.702298Z,74.6.143.25,80
139,6dbcde950836,2022-11-18T10:32:35.858531Z,2001:4998:24:120d::1:0,80
140,6dbcde950836,2022-11-18T10:32:36.014832Z,5.255.255.80,80
141,6dbcde950836,2022-11-18T10:32:36.170617Z,2001:4998:24:120d::1:0,80
142,72338cb962a5,2022-11-18T11:28:09.892399Z,216.58.211.14,80
143,72338cb962a5,2022-11-18T11:28:10.058800Z,2a00:1450:400f:80d::200e,80
144,72338cb962a5,2022-11-18T11:28:10.226812Z,74.6.143.26,80
145,72338cb962a5,2022-11-18T11:28:10.394842Z,2001:4998:124:1507::f001,80
146,72338cb962a5,2022-11-18T11:28:10.563334Z,5.255.255.80,80
147,72338cb962a5,2022-11-18T11:28:10.730852Z,2001:4998:44:3507::8001,80
148,821af6b95dc6,2022-11-18T12:01:20.239943Z,142.250.74.78,80
149,821af6b95dc6,2022-11-18T12:01:20.394528Z,2a00:1450:400f:802::200e,80
150,821af6b95dc6,2022-11-18T12:01:20.550120Z,74.6.143.25,80
151,821af6b95dc6,2022-11-18T12:01:20.707860Z,2001:4998:24:120d::1:1,80
152,821af6b95dc6,2022-11-18T12:01:20.862418Z,74.6.231.21,80
153,821af6b95dc6,2022-11-18T12:01:21.017964Z,2001:4998:24:120d::1:1,80
154,2b6c30fe2f51,2022-11-18T12:18:37.323504Z,142.250.74.78,80
