id,session,timestamp,dst_ip,dst_port,data
1,19f4c9b2f43e,2022-11-16T03:30:24.538610Z,google.com,80,"b'GET / HTTP/1.1\r\nUser-Agent: Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.18\r\n\r\n'"
2,88d674bc47ca,2022-11-16T08:10:03.897769Z,142.250.74.78,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
3,88d674bc47ca,2022-11-16T08:10:04.053962Z,2a00:1450:400f:802::200e,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
4,88d674bc47ca,2022-11-16T08:10:04.210203Z,74.6.143.25,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
5,88d674bc47ca,2022-11-16T08:10:04.367806Z,2001:4998:44:3507::8000,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
6,88d674bc47ca,2022-11-16T08:10:04.525975Z,77.88.55.77,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
7,88d674bc47ca,2022-11-16T08:10:04.681896Z,2001:4998:44:3507::8001,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
8,071f19334ef9,2022-11-16T08:34:59.270183Z,216.58.211.14,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
9,071f19334ef9,2022-11-16T08:34:59.436743Z,2a00:1450:400f:80d::200e,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
10,071f19334ef9,2022-11-16T08:34:59.605013Z,98.137.11.164,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
11,071f19334ef9,2022-11-16T08:34:59.772660Z,2001:4998:24:120d::1:0,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
12,071f19334ef9,2022-11-16T08:34:59.941017Z,98.137.11.163,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
13,071f19334ef9,2022-11-16T08:35:00.109528Z,2001:4998:24:120d::1:0,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
14,9f2be65f35fd,2022-11-16T09:38:19.007474Z,142.250.74.78,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
15,9f2be65f35fd,2022-11-16T09:38:19.166175Z,2a00:1450:400f:802::200e,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
16,9f2be65f35fd,2022-11-16T09:38:19.322277Z,98.137.11.163,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
17,9f2be65f35fd,2022-11-16T09:38:19.479141Z,2001:4998:124:1507::f000,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
18,9f2be65f35fd,2022-11-16T09:38:19.638140Z,74.6.143.25,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
19,9f2be65f35fd,2022-11-16T09:38:19.794720Z,2001:4998:124:1507::f001,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
20,037a12f1bc34,2022-11-16T13:52:28.039352Z,142.250.74.78,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
21,037a12f1bc34,2022-11-16T13:52:28.195288Z,2a00:1450:400f:802::200e,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
22,037a12f1bc34,2022-11-16T13:52:28.349793Z,98.137.11.164,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
23,037a12f1bc34,2022-11-16T13:52:28.547080Z,2001:4998:124:1507::f001,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
24,037a12f1bc34,2022-11-16T13:52:28.658434Z,142.250.74.78,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
25,037a12f1bc34,2022-11-16T13:52:28.811791Z,2001:4998:44:3507::8001,80,"b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
26,ce616e48acfa,2022-11-16T14:09:47.262226Z,216.58.211.14,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
27,ce616e48acfa,2022-11-16T14:09:47.433231Z,2a00:1450:400f:80d::200e,80,"b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
28,ce616e48acfa,2022-11-16T14:09:47.602661Z,216.58.211.14,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
29,ce616e48acfa,2022-11-16T14:09:47.773516Z,2001:4998:44:3507::8000,80,"b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
